release.resource,release.version,table,name,collectionEvent,topics,label,format,unit,mandatory,description,exampleValues,comments,codes(TODO)
ALSPAC,1.0.0,core,n4106,,,E2g1: Mother is unemployed and looking for a job,binary,,,Mother reported that she is unemployed and looking for a job,,,
ALSPAC,1.0.0,core,n4107,,,E2h1: Mother is at school or in other full-time education,binary,,,Mother reported that she is at school or in other full-time education,,,
ALSPAC,1.0.0,core,n4108,,,E2i1: Mother is unable to work because of long-term illness or disability,binary,,,Mother reported that she is unable to work because of long-term illness or disability,,,
ALSPAC,1.0.0,core,n4109,,,E2j1: Mother is retired from paid work,binary,,,Mother reported that she is retired from paid work,,,
ALSPAC,1.0.0,core,n4110,,,E2k1: Mother is looking after the home or family,binary,,,Mother reported that she is looking after the home or family,,,
ALSPAC,1.0.0,core,n4111,,,E2l1: Mother is carrying out voluntary work,binary,,,Mother reported that she is carrying out voluntary work,,,
ALSPAC,1.0.0,core,n4112,,,E2m1: Mother is in another employment situation,binary,,,Mother reported that she is in another employment situation,,,
ALSPAC,1.0.0,core,n4120,,,E2a2: Partner works full-time for an employer,binary,,,Mother reported that partner works full-time for an employer,,,
ALSPAC,1.0.0,core,n4121,,,E2b2: Partner works part-time for an employer,binary,,,Mother reported that partner works part-time for an employer,,,
ALSPAC,1.0.0,core,n4122,,,E2c2: Partner is self-employed and employing other people,binary,,,Mother reported that partner is self-employed and employing other people,,,
ALSPAC,1.0.0,core,n4123,,,E2d2: Partner is self-employed and not employing other people,binary,,,Mother reported that partner is self-employed and not employing other people,,,
ALSPAC,1.0.0,core,n4124,,,E2e2: Partner is on a government employment or training scheme,binary,,,Mother reported that partner is on a government employment or training scheme,,,
ALSPAC,1.0.0,core,n4125,,,E2f2: Partner is waiting to start a job already accepted,binary,,,Mother reported that partner is waiting to start a job already accepted,,,
ALSPAC,1.0.0,core,n4126,,,E2g2: Partner is unemployed and looking for a job,binary,,,Mother reported that partner is unemployed and looking for a job,,,
ALSPAC,1.0.0,core,n4127,,,E2h2: Partner is at school or in other full-time education,binary,,,Mother reported that partner is at school or in other full-time education,,,
ALSPAC,1.0.0,core,n4128,,,E2i2: Partner is unable to work because of long-term illness or disability,binary,,,Mother reported that partner is unable to work because of long-term illness or disability,,,
ALSPAC,1.0.0,core,n4129,,,E2j2: Partner is retired from paid work,binary,,,Mother reported that partner is retired from paid work,,,
ALSPAC,1.0.0,core,n4130,,,E2k2: Partner is looking after the home or family,binary,,,Mother reported that partnerr is looking after the home or family,,,
ALSPAC,1.0.0,core,n4131,,,E2l2: Partner is carrying out voluntary work,binary,,,Mother reported that partner is carrying out voluntary work,,,
ALSPAC,1.0.0,core,n4132,,,E2m2: Partner is in another employment situation,binary,,,Mother reported that partner is in another employment situation,,,
ALSPAC,1.0.0,core,n8000,,,J1a1: Number of adults living in mother's household,continuous,,,How many adults (over 18 years) live in your household (including yourself)?,,,
ALSPAC,1.0.0,core,n8001,,,J1a2: Number of young adults living in mother's household,continuous,,,How many young adults (16-18 years) live in your household (including yourself)?,,,
ALSPAC,1.0.0,core,n8002,,,J1a3: Number of children living in mother's household,continuous,,,"How many children (0-15 years, including your baby) live in your household?",,,
ALSPAC,1.0.0,core,n8050,,,J4a: Biological father lives with study child,binary,,,Does the biological (natural) father of the 8 year old study child live with the study child?,,,
ALSPAC,1.0.0,core,n8110,,,J8a: Mother has pets,binary,,,Do you have any pets?,,,
ALSPAC,1.0.0,core,n8111,,,Number of cats in houshold,continuous,,,Number of cats in houshold,,,
ALSPAC,1.0.0,core,n8112,,,Number of dogs in houshold,continuous,,,Number of dogs in houshold,,,
ALSPAC,1.0.0,core,n8113,,,Number of rabits in houshold,continuous,,,Number of rabits in houshold,,,
ALSPAC,1.0.0,core,n8114,,,Number of rodents in houshold,continuous,,,Number of rodents in houshold,,,
ALSPAC,1.0.0,core,n8341,,,SDQ: Child is restless,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,1.0.0,core,n8342,,,SDQ: Child often complains of aches,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,1.0.0,core,n8344,,,SDQ: Child has temper tantrums,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,1.0.0,core,n8345,,,SDQ: Child is solitary,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,1.0.0,core,n8346,,,SDQ: Child is obedient,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,1.0.0,core,n8347,,,SDQ:  Child often worries,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,1.0.0,core,n8349,,,SDQ: Child is fidgety,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,1.0.0,core,n8350,,,SDQ: Child has at least 1 friend,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,1.0.0,core,n8351,,,SDQ: Child often fights with others,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,1.0.0,core,n8352,,,SDQ: Child is often unhappy,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,1.0.0,core,n8353,,,SDQ: Child is liked by other children,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,1.0.0,core,n8354,,,SDQ: Child is easily distracted,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,1.0.0,core,n8355,,,SDQ: Child is nervous in new situations,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,1.0.0,core,n8357,,,SDQ: Child often cheats or lies ,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,1.0.0,core,n8358,,,SDQ: Child is bullied,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,1.0.0,core,n8360,,,SDQ: Child things before acting,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,1.0.0,core,n8361,,,SDQ: Child steals from home,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,1.0.0,core,n8362,,,SDQ: Child prefers adults to children,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,1.0.0,core,n8363,,,SDQ: Child has many fears,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,1.0.0,core,n8364,,,SDQ: Child has good attention,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,1.0.0,core,n9991a,,,Age of study child at completion (months),continuous,month,,"Exact age of the child in months, calculated from child date of birth and date of completing questionnaire",,,
ALSPAC,1.0.0,core,oactive_thyroid_meds_preg,,,Overactive thyroid medication in pregnancy,binary,,,Mother reported taking medicine for over-active thyroid during pregnancy,,,
ALSPAC,1.0.0,core,p2008,,,B9: Mother was divorced since the study child's 6th birthday,categorical,,,Since your study child’s 6th birthday have you been divorced?,,,
ALSPAC,1.0.0,core,p2017,,,B18: Mother and husband/partner separated since the study child's 6th birthday,categorical,,,Since your study child’s 6th birthday have you been separated?,,,
ALSPAC,1.0.0,core,p3001,,,C1b: Mother's partner or husband lives with her,binary,,,Does your partner live with you?,,,
ALSPAC,1.0.0,core,p9991a,,,DV: Age of study child at completion (months),continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,1.0.0,core,pa173,,,Had asthma,binary,,,Have you ever had asthma?,,,
ALSPAC,1.0.0,core,pa189a,,,"Had schizophrenia, Y/N",binary,,,Have you ever had schizophrenia?,,,
ALSPAC,1.0.0,core,pa190a,,,"Had anorexia nervosa, Y/N",binary,,,Have you ever had anorexia nervosa?,,,
ALSPAC,1.0.0,core,pa191a,,,"Had severe depression, Y/N",binary,,,Have you ever had severe depression?,,,
ALSPAC,1.0.0,core,pa192a,,,"Had other psychiatric problem, Y/N",binary,,,Have you ever had another psychiatric problem?,,,
ALSPAC,1.0.0,core,paw002,,,partners weight in kg,continuous,kg,,Partner self-reported weight,,,
ALSPAC,1.0.0,core,paw010,,,partners height (cm),continuous,cm,,Partner self-reported height,,,
ALSPAC,1.0.0,core,pb078,,,Times per day smoked at start of PREG,categorical,,,How many times a day did you smoke at the start of your partner's pregnancy?,,,
ALSPAC,1.0.0,core,pb079,,,Times per day smoked in last 2WKS,categorical,,,How many times a day did you smoke in the last 2 weeks?,,,
ALSPAC,1.0.0,core,pc992,,,Baby's age (wks) on completion of ?aire,continuous,week,,Age of child in weeks at completion of questionnaire,,,
ALSPAC,1.0.0,core,pc996,,,Age of PTNR (yrs) at birth of baby,continuous,year,,"Partner's age at birth of the baby, calculated from birth date and partner's date of birth",,,
ALSPAC,1.0.0,core,pk9980,,,G1a: Questionnaire completed by child's biological father,binary,,,Was this questionnaire completed by the child's biological father?,,,
ALSPAC,1.0.0,core,pk9991a,,,DV: Age of study child at completion (months),continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,1.0.0,core,pl1070,,,A4a: Respondent has ever had diabetes,binary,,,Have you ever had diabetes?,,,
ALSPAC,1.0.0,core,pl1072,,,A4a1: Treatment received for diabetes,categorical,,,How was the diabetes treated?,,,
ALSPAC,1.0.0,core,pl9980,,,K1a: Questionnaire completed by biological father,binary,,,Was this questionnaire completed by the child's biological father?,,,
ALSPAC,1.0.0,core,preeclampsia,,,Preeclampsia (without known hypertension prior to pregnancy),binary,,,"Hypertensive disorder of pregnancy (as above) PLUS at least 1+ proteinuria on dipstick testing (Albustix; Ames Co, Elkhart, Ind) occurring at the same time as the episodes of raised blood pressure. As with hypertensive disorder of pregnancy (and in accordance with ISSHP), the ‘healthy’ (coded 0) group for this variable includes those with no evidence of HDP, those with pre-existing hypertension AND in addition those with gestational hypertension (see below). Thus, it compares preeclampsia to no preeclampsia.",,,
ALSPAC,1.0.0,core,pregnancy_diabetes,,,Diabetes in pregnancy,binary,,,This variable indicates whether or not a woman had a diagnosis of diabetes made during pregnancy.,,,
ALSPAC,1.0.0,core,pub103,,,Height at 99 months,continuous,cm,,Maternal reported height,,,
ALSPAC,1.0.0,core,pub104,,,Weight at 99 months,continuous,kg,,Maternal reported weight,,,
ALSPAC,1.0.0,core,pub195,,,"Age of child at completion, mean age at 99 months",continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,1.0.0,core,pub203,,,Height at 116 months,continuous,cm,,Maternal reported height,,,
ALSPAC,1.0.0,core,pub204,,,Weight at 116 months,continuous,kg,,Maternal reported weight,,,
ALSPAC,1.0.0,core,pub295,,,"Age of child at completion, mean age at 116 months",continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,1.0.0,core,pub303,,,Height at 129 months,continuous,cm,,Maternal reported height,,,
ALSPAC,1.0.0,core,pub304,,,Weight at 129 months,continuous,kg,,Maternal reported weight,,,
ALSPAC,1.0.0,core,pub397a,,,"Age of child at completion, mean age at 129 months",continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,1.0.0,core,pub403,,,Height at 141 months,continuous,cm,,Maternal reported height,,,
ALSPAC,1.0.0,core,pub404,,,Weight at 141 months,continuous,kg,,Maternal reported weight,,,
ALSPAC,1.0.0,core,pub497a,,,"Age of child at completion, mean age at 141 months",continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,1.0.0,core,pub503,,,Height at 158 months,continuous,cm,,Maternal reported height,,,
ALSPAC,1.0.0,core,pub504,,,Weight at 158 months,continuous,kg,,Maternal reported weight,,,
ALSPAC,1.0.0,core,pub597a,,,"Age of child at completion, mean age at 158 months",continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,1.0.0,core,pub603,,,Height at 176 months,continuous,cm,,Maternal reported height,,,
ALSPAC,1.0.0,core,pub604,,,Weight at 176 months,continuous,kg,,Maternal reported weight,,,
ALSPAC,1.0.0,core,pub697a,,,"Age of child at completion, mean age at 176 months",continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,1.0.0,core,pub803,,,Heght at 193 months,continuous,cm,,Maternal reported height,,,
ALSPAC,1.0.0,core,pub804,,,Weight at 193 months,continuous,kg,,Maternal reported weight,,,
ALSPAC,1.0.0,core,pub897a,,,"Age of child at completion, mean age at 193 months",continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,1.0.0,core,pub903,,,Height at 204 months,continuous,cm,,Maternal reported height,,,
ALSPAC,1.0.0,core,pub904,,,Weight at 204 months,continuous,kg,,Maternal reported weight,,,
ALSPAC,1.0.0,core,pub997a,,,"Age of child at completion, mean age at 204 months",continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,1.0.0,core,q3000,,,C1a1: Number of adults in household,continuous,,,How many adults (over 18 years) live in your household (including yourself)?,,,
ALSPAC,1.0.0,core,q3001,,,C1a2: Number of young adults (16-18 years) in household,continuous,,,How many young adults (16-18 years) live in your household (including yourself)?,,,
ALSPAC,1.0.0,core,q3002,,,C1a3: Number of children (<16 years) in household,continuous,,,"How many children (0-15 years, including your baby) live in your household?",,,
ALSPAC,1.0.0,core,q3110,,,C8a: Pets in household,binary,,,Do you have any pets?,,,
ALSPAC,1.0.0,core,q3111,,,Number of cats in houshold,continuous,,,Number of cats in houshold,,,
ALSPAC,1.0.0,core,q3112,,,Number of dogs in houshold,continuous,,,Number of dogs in houshold,,,
ALSPAC,1.0.0,core,q3113,,,Number of rabits in houshold,continuous,,,Number of rabits in houshold,,,
ALSPAC,1.0.0,core,q3114,,,Number of rodents in houshold,continuous,,,Number of rodents in houshold,,,
ALSPAC,1.0.0,core,q5000,,,E1a: Mother worked at all since child was 5,binary,,,Derived variable indicating mothers who have not worked since study child born,,,
ALSPAC,1.0.0,core,q5002,,,E1a2: Mother worked out of home since child was 5,binary,,,Derived variable indicating mothers who have worked out of home since child was 5,,,
ALSPAC,1.0.0,core,q9991a,,,DV: Age of study child at completion (months),continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,1.0.0,core,qlet,,,Birth order (within pregnancy),categorical,,,Variable indicating within-pregnancy birth order,,,
ALSPAC,1.0.0,core,r5008,,,F9: Respondent has been divorced since child's 9th birthday,categorical,,,Since your study child’s 9th birthday have you been divorced?,,,
ALSPAC,1.0.0,core,r5017,,,F18: Respondent separated from husband/partner since the study child's 9th birth,categorical,,,Since your study child’s 9th birthday have you been separated?,,,
ALSPAC,1.0.0,core,r7000,,,H1: Respondent has had a job/regular voluntary work in past year,binary,,,Have you had any jobs or regular voluntary work in the past year?,,,
ALSPAC,1.0.0,core,r9991a,,,DV: Age of study child at completion (months),continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,1.0.0,core,s3001,,,C1b: Mother's husband/partner lives with mother,binary,,,Does your partner or husband live with you?,,,
ALSPAC,1.0.0,core,s9991a,,,DV: Age of study child at completion (months),continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,1.0.0,core,t3308,,,D43: Respondent was divorced in last year,categorical,,,Within the last year have you been divorced?,,,
ALSPAC,1.0.0,core,t3316,,,D51: Respondent and partner separated in last year,categorical,,,Within the last year have you been separated?,,,
ALSPAC,1.0.0,core,t9991a,,,DV: Age of study child at completion (months),continuous,month,,Age of child in months at completion of questionnaire,,,
ALSPAC,1.0.0,core,ta1019,,,A2j:  Teenager had rash in past 12 months,categorical,,,Maternal report of child rash in the past 12 months,,,
ALSPAC,1.0.0,core,ta1020,,,A2k:  Teenager had wheezing in past 12 months,categorical,,,Maternal report of child wheeze in the past 12 months,,,
ALSPAC,1.0.0,core,ta1030,,,A2u:  Teenager had eczema in past 12 months,categorical,,,Maternal report of child eczema in the past 12 months,,,
ALSPAC,1.0.0,core,ta7001,,,SDQ: Child is restless,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,1.0.0,core,ta7002,,,SDQ: Child often complains of aches,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,1.0.0,core,ta7004,,,SDQ: Child has temper tantrums,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,1.0.0,core,ta7005,,,SDQ: Child is solitary,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,1.0.0,core,ta7006,,,SDQ: Child is obedient,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,1.0.0,core,ta7007,,,SDQ:  Child often worries,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,1.0.0,core,ta7009,,,SDQ: Child is fidgety,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,1.0.0,core,ta7010,,,SDQ: Child has at least 1 friend,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,1.0.0,core,ta7011,,,SDQ: Child often fights with others,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,1.0.0,core,ta7012,,,SDQ: Child is often unhappy,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,1.0.0,core,ta7013,,,SDQ: Child is liked by other children,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,1.0.0,core,ta7014,,,SDQ: Child is easily distracted,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,1.0.0,core,ta7015,,,SDQ: Child is nervous in new situations,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,1.0.0,core,ta7017,,,SDQ: Child often cheats or lies ,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,1.0.0,core,ta7018,,,SDQ: Child is bullied,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,1.0.0,core,ta7020,,,SDQ: Child things before acting,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,1.0.0,core,ta7021,,,SDQ: Child steals from home,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,1.0.0,core,ta7022,,,SDQ: Child prefers adults to children,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,1.0.0,core,ta7023,,,SDQ: Child has many fears,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,1.0.0,core,ta7024,,,SDQ: Child has good attention,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,1.0.0,core,ta9991a,,,Age of study child at completion (months),continuous,month,,"Exact age of the child in months, calculated from child date of birth and date of completing questionnaire",,,
ALSPAC,1.0.0,core,tb1025,,,A3f: Child had whooping cough in past year,binary,,,Maternal report of child whooping cough in the past 12 months,,,
ALSPAC,1.0.0,core,tb1028,,,A3i: Child had an ear infection in past year,binary,,,Maternal report of child ear infection in the past 12 months,,,
ALSPAC,1.0.0,core,tb1029,,,A3j: Child had chest infection in past year,binary,,,Maternal report of child chest infection in the past 12 months,,,
ALSPAC,1.0.0,core,tb1030,,,A3k: Child had tonsillitis/laryngitis in past year,binary,,,Maternal report of child tonsilitis in the past 12 months,,,
ALSPAC,1.0.0,core,tb1050,,,A4k: Child had wheezing in past 12 months,categorical,,,Maternal report of child wheeze in the past 12 months,,,
ALSPAC,1.0.0,core,tb1060,,,A4u: Child had eczema in past 12 months,categorical,,,Maternal report of child eczema in the past 12 months,,,
ALSPAC,1.0.0,core,tb1070,,,A5: Doctor ever diagnosed asthma/eczema,categorical,,,Maternal report of child diagnosis of asthma or eczema by doctor,,,
ALSPAC,1.0.0,core,tb1080,,,A6a: Child had periods of wheezing with whistling on their chest when breathing ,categorical,,,Maternal report of child wheezing or whistling in the past 12 months,,,
ALSPAC,1.0.0,core,tb1111,,,"A8b: Child had itchy dry, skin rash in the last year",binary,,,Maternal report of child itchy rash in the past 12 months,,,
ALSPAC,1.0.0,core,tb2220,,,B1w: Medicine/pills/drops/ointment used by child for asthma in past 12 months,categorical,,,Maternal report of child taking asthma medication in past 12 months,,,
ALSPAC,1.0.0,core,tb2480,,,"E3a: Child has used 'Reliever' inhaler for asthma/wheezing, past month",categorical,,,"Maternal report of child use of ""reliever"" inhaler in past month",,,
ALSPAC,1.0.0,core,tb2481,,,"E3b: Child has used 'Preventer' inhaler for asthma/wheezing, past month",categorical,,,"Maternal report of child use of ""preventer"" inhaler in past month",,,
ALSPAC,1.0.0,core,tb8520,,,SCDC: Child was unaware of other people's feelings over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,1.0.0,core,tb8521,,,SCDC: Child did not realise when others were upset/angry over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,1.0.0,core,tb8522,,,SCDC: Child did not notice the effect of own behaviour on other family members over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,1.0.0,core,tb8523,,,SCDC: Child's behaviour often disrupted normal family life over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,1.0.0,core,tb8524,,,SCDC: Child was very demanding of other people's time over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,1.0.0,core,tb8525,,,SCDC: Child was difficult to reason with when upset over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,1.0.0,core,tb8526,,,SCDC: Child did not seem to understand social skills over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,1.0.0,core,tb8527,,,SCDC: Child did not pick up on body language over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,1.0.0,core,tb8528,,,SCDC: Child did not understand how to behave when out over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,1.0.0,core,tb8529,,,SCDC: Child did not realise people were offended by own behaviour over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,1.0.0,core,tb8530,,,SCDC: Child did not respond when told to do something over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,1.0.0,core,tb8531,,,SCDC: Child did not follow commands unless carefully worded over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,1.0.0,core,tb9991a,,,Age of study child at completion (months),continuous,month,,"Exact age of the child in months, calculated from child date of birth and date of completing questionnaire",,,
ALSPAC,1.0.0,core,tc4001,,,SDQ: Child is restless,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,1.0.0,core,tc4002,,,SDQ: Child often complains of aches,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,1.0.0,core,tc4004,,,SDQ: Child has temper tantrums,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,1.0.0,core,tc4005,,,SDQ: Child is solitary,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,1.0.0,core,tc4006,,,SDQ: Child is obedient,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,1.0.0,core,tc4007,,,SDQ:  Child often worries,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,1.0.0,core,tc4009,,,SDQ: Child is fidgety,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,1.0.0,core,tc4010,,,SDQ: Child has at least 1 friend,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,1.0.0,core,tc4011,,,SDQ: Child often fights with others,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,1.0.0,core,tc4012,,,SDQ: Child is often unhappy,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,1.0.0,core,tc4013,,,SDQ: Child is liked by other children,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,1.0.0,core,tc4014,,,SDQ: Child is easily distracted,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,1.0.0,core,tc4015,,,SDQ: Child is nervous in new situations,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,1.0.0,core,tc4017,,,SDQ: Child often cheats or lies ,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,1.0.0,core,tc4018,,,SDQ: Child is bullied,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,1.0.0,core,tc4020,,,SDQ: Child things before acting,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,1.0.0,core,tc4021,,,SDQ: Child steals from home,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Conduct problems subscale,,,
ALSPAC,1.0.0,core,tc4022,,,SDQ: Child prefers adults to children,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Peer problems subscale,,,
ALSPAC,1.0.0,core,tc4023,,,SDQ: Child has many fears,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Emotional subscale,,,
ALSPAC,1.0.0,core,tc4024,,,SDQ: Child has good attention,categorical,,,Strengths and Difficulties Questionnaire (SDQ): Hyperactivity subscale,,,
ALSPAC,1.0.0,core,tc4050,,,SCDC: Child was unaware of other people's feelings over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,1.0.0,core,tc4051,,,SCDC: Child did not realise when others were upset/angry over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,1.0.0,core,tc4052,,,SCDC: Child did not notice the effect of own behaviour on other family members over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,1.0.0,core,tc4053,,,SCDC: Child's behaviour often disrupted normal family life over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,1.0.0,core,tc4054,,,SCDC: Child was very demanding of other people's time over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,1.0.0,core,tc4055,,,SCDC: Child was difficult to reason with when upset over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,1.0.0,core,tc4056,,,SCDC: Child did not seem to understand social skills over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,1.0.0,core,tc4057,,,SCDC: Child did not pick up on body language over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,1.0.0,core,tc4058,,,SCDC: Child did not understand how to behave when out over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,1.0.0,core,tc4059,,,SCDC: Child did not realise people were offended by own behaviour over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,1.0.0,core,tc4060,,,SCDC: Child did not respond when told to do something over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,1.0.0,core,tc4061,,,SCDC: Child did not follow commands unless carefully worded over past 6 months,categorical,,,Item from Skuse social cognition measure (SCDC),,,
ALSPAC,1.0.0,core,tc5000,,,Height at 202 months,continuous,cm,,Maternal reported height,,,
ALSPAC,1.0.0,core,tc5001,,,Weight at 202 months,continuous,kg,,Maternal reported weight,,,
